order_id,date,region,channel,sales_rep,category,product,quantity,unit_price,discount,revenue,cost,profit,year,quarter,month,month_name,week,day_of_week,margin_pct,rev_band,is_2024
ORD-01349,2023-01-09,East,Partner,Grace Lee,Electronics,Smart Watch,3,249.0,0.0,747.0,410.85,336.15,2023,1,1,Jan,2,Monday,45.0,$500-$2k,0
ORD-00136,2023-01-09,Central,Online,Henry Osei,Home & Garden,Robot Vacuum,13,299.0,0.0,3887.0,2137.85,1749.15,2023,1,1,Jan,2,Monday,45.0,>$2k,0
ORD-00619,2023-01-10,East,In-Store,Eva Patel,Sports,Gym Bag,17,63.0,0.1,1071.0,654.5,416.5,2023,1,1,Jan,2,Tuesday,38.89,$500-$2k,0
ORD-01161,2023-01-11,East,Online,Clara Diaz,Sports,Resistance Bands,13,25.0,0.0,325.0,178.75,146.25,2023,1,1,Jan,2,Wednesday,45.0,$100-$500,0
ORD-01858,2023-01-11,West,Wholesale,Grace Lee,Apparel,Yoga Set,14,46.75,0.15,654.5,423.5,231.0,2023,1,1,Jan,2,Wednesday,35.29,$500-$2k,0
ORD-01422,2023-01-11,South,Online,Frank Russo,Electronics,Wireless Earbuds,2,71.2,0.2,142.4,97.9,44.5,2023,1,1,Jan,2,Wednesday,31.25,$100-$500,0
ORD-00650,2023-01-11,North,In-Store,Frank Russo,Sports,Gym Bag,5,70.0,0.0,350.0,192.5,157.5,2023,1,1,Jan,2,Wednesday,45.0,$100-$500,0
ORD-01266,2023-01-11,West,In-Store,Henry Osei,Electronics,Smart Watch,18,236.55,0.05,4257.9,2465.1,1792.8,2023,1,1,Jan,2,Wednesday,42.11,>$2k,0
ORD-01340,2023-01-12,West,Wholesale,Henry Osei,Food & Beverage,Protein Bars 12Pk,17,28.0,0.0,476.0,261.8,214.2,2023,1,1,Jan,2,Thursday,45.0,$100-$500,0
ORD-01662,2023-01-13,South,Partner,Clara Diaz,Home & Garden,Robot Vacuum,13,239.2,0.2,3109.6,2137.85,971.75,2023,1,1,Jan,2,Friday,31.25,>$2k,0
ORD-00404,2023-01-13,South,Online,Henry Osei,Food & Beverage,Premium Coffee Blend,2,17.6,0.2,35.2,24.2,11.0,2023,1,1,Jan,2,Friday,31.25,<$100,0
ORD-01710,2023-01-13,East,Partner,Grace Lee,Food & Beverage,Green Tea Set,5,16.2,0.1,81.0,49.5,31.5,2023,1,1,Jan,2,Friday,38.89,<$100,0
ORD-01907,2023-01-14,East,Online,Clara Diaz,Electronics,Laptop Pro 15,1,1020.0,0.15,1020.0,660.0,360.0,2023,1,1,Jan,2,Saturday,35.29,$500-$2k,0
ORD-01601,2023-01-14,South,Online,Clara Diaz,Sports,Foam Roller,13,30.0,0.0,390.0,214.5,175.5,2023,1,1,Jan,2,Saturday,45.0,$100-$500,0
ORD-00540,2023-01-14,Central,Online,Alice Morgan,Food & Beverage,Green Tea Set,14,14.4,0.2,201.6,138.6,63.0,2023,1,1,Jan,2,Saturday,31.25,$100-$500,0
ORD-01778,2023-01-15,South,Online,David Kim,Sports,Foam Roller,7,30.0,0.0,210.0,115.5,94.5,2023,1,1,Jan,2,Sunday,45.0,$100-$500,0
ORD-00791,2023-01-17,South,Wholesale,Grace Lee,Apparel,Running Jacket,3,72.25,0.15,216.75,140.25,76.5,2023,1,1,Jan,3,Tuesday,35.29,$100-$500,0
ORD-01434,2023-01-17,West,In-Store,Eva Patel,Sports,Foam Roller,4,30.0,0.0,120.0,66.0,54.0,2023,1,1,Jan,3,Tuesday,45.0,$100-$500,0
ORD-01924,2023-01-17,West,Wholesale,Clara Diaz,Apparel,Denim Jeans,7,65.0,0.0,455.0,250.25,204.75,2023,1,1,Jan,3,Tuesday,45.0,$100-$500,0
ORD-01168,2023-01-17,West,Online,Alice Morgan,Home & Garden,Air Purifier,7,199.0,0.0,1393.0,766.15,626.85,2023,1,1,Jan,3,Tuesday,45.0,$500-$2k,0
ORD-01014,2023-01-17,South,Online,David Kim,Electronics,Wireless Earbuds,4,71.2,0.2,284.8,195.8,89.0,2023,1,1,Jan,3,Tuesday,31.25,$100-$500,0
ORD-01332,2023-01-18,East,Wholesale,Clara Diaz,Apparel,Yoga Set,1,55.0,0.0,55.0,30.25,24.75,2023,1,1,Jan,3,Wednesday,45.0,<$100,0
ORD-00257,2023-01-18,East,Partner,Bob Chen,Food & Beverage,Green Tea Set,16,14.4,0.2,230.4,158.4,72.0,2023,1,1,Jan,3,Wednesday,31.25,$100-$500,0
ORD-00931,2023-01-19,North,Wholesale,Bob Chen,Food & Beverage,Green Tea Set,18,16.2,0.1,291.6,178.2,113.4,2023,1,1,Jan,3,Thursday,38.89,$100-$500,0
ORD-01027,2023-01-19,East,Partner,Frank Russo,Apparel,Denim Jeans,18,65.0,0.0,1170.0,643.5,526.5,2023,1,1,Jan,3,Thursday,45.0,$500-$2k,0
ORD-01176,2023-01-19,Central,Wholesale,Grace Lee,Home & Garden,Led Strip Kit,3,35.0,0.0,105.0,57.75,47.25,2023,1,1,Jan,3,Thursday,45.0,$100-$500,0
ORD-00077,2023-01-20,Central,Online,Frank Russo,Sports,Gym Bag,3,66.5,0.05,199.5,115.5,84.0,2023,1,1,Jan,3,Friday,42.11,$100-$500,0
ORD-01017,2023-01-21,West,In-Store,David Kim,Apparel,Wool Sweater,16,104.5,0.05,1672.0,968.0,704.0,2023,1,1,Jan,3,Saturday,42.11,$500-$2k,0
ORD-01316,2023-01-22,North,Online,Alice Morgan,Electronics,Laptop Pro 15,13,1140.0,0.05,14820.0,8580.0,6240.0,2023,1,1,Jan,3,Sunday,42.11,>$2k,0
ORD-01417,2023-01-22,East,Online,Alice Morgan,Food & Beverage,Olive Oil 1L,8,14.4,0.1,115.2,70.4,44.8,2023,1,1,Jan,3,Sunday,38.89,$100-$500,0
ORD-00179,2023-01-22,East,In-Store,Henry Osei,Sports,Gym Bag,4,66.5,0.05,266.0,154.0,112.0,2023,1,1,Jan,3,Sunday,42.11,$100-$500,0
ORD-00109,2023-01-22,East,Online,Clara Diaz,Electronics,Wireless Earbuds,19,80.1,0.1,1521.9,930.05,591.85,2023,1,1,Jan,3,Sunday,38.89,$500-$2k,0
ORD-00503,2023-01-23,Central,In-Store,Bob Chen,Apparel,Denim Jeans,5,65.0,0.0,325.0,178.75,146.25,2023,1,1,Jan,4,Monday,45.0,$100-$500,0
ORD-01119,2023-01-23,South,Partner,Bob Chen,Food & Beverage,Protein Bars 12Pk,6,28.0,0.0,168.0,92.4,75.6,2023,1,1,Jan,4,Monday,45.0,$100-$500,0
ORD-01396,2023-01-24,Central,Online,Bob Chen,Home & Garden,Robot Vacuum,5,254.15,0.15,1270.75,822.25,448.5,2023,1,1,Jan,4,Tuesday,35.29,$500-$2k,0
ORD-01686,2023-01-24,East,Wholesale,David Kim,Food & Beverage,Olive Oil 1L,14,12.8,0.2,179.2,123.2,56.0,2023,1,1,Jan,4,Tuesday,31.25,$100-$500,0
ORD-01143,2023-01-24,Central,Online,Clara Diaz,Food & Beverage,Green Tea Set,11,16.2,0.1,178.2,108.9,69.3,2023,1,1,Jan,4,Tuesday,38.89,$100-$500,0
ORD-01181,2023-01-25,South,Partner,Frank Russo,Electronics,4K Monitor,10,479.2,0.2,4792.0,3294.5,1497.5,2023,1,1,Jan,4,Wednesday,31.25,>$2k,0
ORD-01849,2023-01-25,West,Online,Frank Russo,Sports,Protein Shaker,3,17.1,0.05,51.3,29.7,21.6,2023,1,1,Jan,4,Wednesday,42.11,<$100,0
ORD-00049,2023-01-26,South,Partner,Grace Lee,Apparel,Denim Jeans,6,61.75,0.05,370.5,214.5,156.0,2023,1,1,Jan,4,Thursday,42.11,$100-$500,0
ORD-01769,2023-01-27,East,Online,Henry Osei,Home & Garden,Planter Set,1,36.0,0.2,36.0,24.75,11.25,2023,1,1,Jan,4,Friday,31.25,<$100,0
ORD-01562,2023-01-27,East,In-Store,Eva Patel,Food & Beverage,Protein Bars 12Pk,1,26.6,0.05,26.6,15.4,11.2,2023,1,1,Jan,4,Friday,42.11,<$100,0
ORD-00455,2023-01-27,South,In-Store,Eva Patel,Home & Garden,Led Strip Kit,7,35.0,0.0,245.0,134.75,110.25,2023,1,1,Jan,4,Friday,45.0,$100-$500,0
ORD-00994,2023-01-27,East,Online,Grace Lee,Apparel,Wool Sweater,4,110.0,0.0,440.0,242.0,198.0,2023,1,1,Jan,4,Friday,45.0,$100-$500,0
ORD-00723,2023-01-27,East,Online,Henry Osei,Food & Beverage,Protein Bars 12Pk,8,23.8,0.15,190.4,123.2,67.2,2023,1,1,Jan,4,Friday,35.29,$100-$500,0
ORD-01946,2023-01-27,West,Partner,Grace Lee,Apparel,Yoga Set,13,49.5,0.1,643.5,393.25,250.25,2023,1,1,Jan,4,Friday,38.89,$500-$2k,0
ORD-00968,2023-01-29,North,In-Store,Henry Osei,Sports,Gym Bag,15,59.5,0.15,892.5,577.5,315.0,2023,1,1,Jan,4,Sunday,35.29,$500-$2k,0
ORD-00053,2023-01-29,North,Partner,Clara Diaz,Home & Garden,Led Strip Kit,18,35.0,0.0,630.0,346.5,283.5,2023,1,1,Jan,4,Sunday,45.0,$500-$2k,0
ORD-00479,2023-01-29,West,Online,Clara Diaz,Apparel,Yoga Set,3,55.0,0.0,165.0,90.75,74.25,2023,1,1,Jan,4,Sunday,45.0,$100-$500,0
ORD-00953,2023-01-29,South,Partner,Henry Osei,Apparel,Running Jacket,5,85.0,0.0,425.0,233.75,191.25,2023,1,1,Jan,4,Sunday,45.0,$100-$500,0
ORD-00995,2023-01-30,North,Wholesale,Henry Osei,Home & Garden,Robot Vacuum,11,299.0,0.0,3289.0,1808.95,1480.05,2023,1,1,Jan,5,Monday,45.0,>$2k,0
ORD-00240,2023-01-30,North,Online,Eva Patel,Food & Beverage,Green Tea Set,19,18.0,0.0,342.0,188.1,153.9,2023,1,1,Jan,5,Monday,45.0,$100-$500,0
ORD-01219,2023-01-30,South,Partner,Grace Lee,Apparel,Running Jacket,4,80.75,0.05,323.0,187.0,136.0,2023,1,1,Jan,5,Monday,42.11,$100-$500,0
ORD-00847,2023-01-30,West,Online,Bob Chen,Food & Beverage,Protein Bars 12Pk,6,22.4,0.2,134.4,92.4,42.0,2023,1,1,Jan,5,Monday,31.25,$100-$500,0
ORD-00753,2023-01-30,South,In-Store,Frank Russo,Home & Garden,Led Strip Kit,19,31.5,0.1,598.5,365.75,232.75,2023,1,1,Jan,5,Monday,38.89,$500-$2k,0
ORD-00073,2023-01-30,West,Partner,Grace Lee,Apparel,Yoga Set,14,52.25,0.05,731.5,423.5,308.0,2023,1,1,Jan,5,Monday,42.11,$500-$2k,0
ORD-01403,2023-01-31,East,In-Store,David Kim,Apparel,Yoga Set,4,55.0,0.0,220.0,121.0,99.0,2023,1,1,Jan,5,Tuesday,45.0,$100-$500,0
ORD-01452,2023-02-01,South,Wholesale,Frank Russo,Apparel,Denim Jeans,12,61.75,0.05,741.0,429.0,312.0,2023,1,2,Feb,5,Wednesday,42.11,$500-$2k,0
ORD-00078,2023-02-01,South,In-Store,Alice Morgan,Apparel,Running Jacket,2,68.0,0.2,136.0,93.5,42.5,2023,1,2,Feb,5,Wednesday,31.25,$100-$500,0
ORD-00241,2023-02-01,West,Partner,Eva Patel,Apparel,Wool Sweater,20,93.5,0.15,1870.0,1210.0,660.0,2023,1,2,Feb,5,Wednesday,35.29,$500-$2k,0
ORD-00477,2023-02-01,South,Partner,Henry Osei,Food & Beverage,Olive Oil 1L,4,13.6,0.15,54.4,35.2,19.2,2023,1,2,Feb,5,Wednesday,35.29,<$100,0
ORD-01538,2023-02-01,South,Partner,Alice Morgan,Home & Garden,Led Strip Kit,10,31.5,0.1,315.0,192.5,122.5,2023,1,2,Feb,5,Wednesday,38.89,$100-$500,0
ORD-01084,2023-02-01,West,Online,Frank Russo,Sports,Foam Roller,3,27.0,0.1,81.0,49.5,31.5,2023,1,2,Feb,5,Wednesday,38.89,<$100,0
ORD-01462,2023-02-02,West,Partner,David Kim,Food & Beverage,Premium Coffee Blend,10,22.0,0.0,220.0,121.0,99.0,2023,1,2,Feb,5,Thursday,45.0,$100-$500,0
ORD-00369,2023-02-03,West,Partner,Frank Russo,Electronics,Wireless Earbuds,10,71.2,0.2,712.0,489.5,222.5,2023,1,2,Feb,5,Friday,31.25,$500-$2k,0
ORD-01623,2023-02-04,East,Wholesale,Grace Lee,Home & Garden,Robot Vacuum,20,299.0,0.0,5980.0,3289.0,2691.0,2023,1,2,Feb,5,Saturday,45.0,>$2k,0
ORD-01947,2023-02-05,East,Partner,Alice Morgan,Apparel,Yoga Set,20,44.0,0.2,880.0,605.0,275.0,2023,1,2,Feb,5,Sunday,31.25,$500-$2k,0
ORD-00689,2023-02-05,East,Online,Clara Diaz,Sports,Protein Shaker,1,15.3,0.15,15.3,9.9,5.4,2023,1,2,Feb,5,Sunday,35.29,<$100,0
ORD-01968,2023-02-05,North,Partner,Clara Diaz,Home & Garden,Led Strip Kit,1,35.0,0.0,35.0,19.25,15.75,2023,1,2,Feb,5,Sunday,45.0,<$100,0
ORD-00461,2023-02-05,Central,In-Store,Bob Chen,Sports,Gym Bag,3,66.5,0.05,199.5,115.5,84.0,2023,1,2,Feb,5,Sunday,42.11,$100-$500,0
ORD-00880,2023-02-05,East,Partner,Clara Diaz,Apparel,Denim Jeans,18,55.25,0.15,994.5,643.5,351.0,2023,1,2,Feb,5,Sunday,35.29,$500-$2k,0
ORD-00405,2023-02-06,Central,Wholesale,David Kim,Home & Garden,Led Strip Kit,5,35.0,0.0,175.0,96.25,78.75,2023,1,2,Feb,6,Monday,45.0,$100-$500,0
ORD-01505,2023-02-06,West,In-Store,Frank Russo,Apparel,Yoga Set,2,55.0,0.0,110.0,60.5,49.5,2023,1,2,Feb,6,Monday,45.0,$100-$500,0
ORD-00799,2023-02-06,Central,Partner,Eva Patel,Home & Garden,Planter Set,10,45.0,0.0,450.0,247.5,202.5,2023,1,2,Feb,6,Monday,45.0,$100-$500,0
ORD-00754,2023-02-06,South,Wholesale,Clara Diaz,Home & Garden,Led Strip Kit,16,28.0,0.2,448.0,308.0,140.0,2023,1,2,Feb,6,Monday,31.25,$100-$500,0
ORD-01128,2023-02-07,South,In-Store,David Kim,Food & Beverage,Olive Oil 1L,19,13.6,0.15,258.4,167.2,91.2,2023,1,2,Feb,6,Tuesday,35.29,$100-$500,0
ORD-00954,2023-02-07,South,In-Store,Eva Patel,Sports,Protein Shaker,14,15.3,0.15,214.2,138.6,75.6,2023,1,2,Feb,6,Tuesday,35.29,$100-$500,0
ORD-01042,2023-02-07,Central,Partner,Grace Lee,Sports,Resistance Bands,10,25.0,0.0,250.0,137.5,112.5,2023,1,2,Feb,6,Tuesday,45.0,$100-$500,0
ORD-01039,2023-02-07,South,Online,Eva Patel,Apparel,Wool Sweater,2,104.5,0.05,209.0,121.0,88.0,2023,1,2,Feb,6,Tuesday,42.11,$100-$500,0
ORD-00841,2023-02-08,Central,In-Store,Henry Osei,Apparel,Denim Jeans,20,55.25,0.15,1105.0,715.0,390.0,2023,1,2,Feb,6,Wednesday,35.29,$500-$2k,0
ORD-00760,2023-02-08,South,Online,Henry Osei,Apparel,Running Jacket,12,68.0,0.2,816.0,561.0,255.0,2023,1,2,Feb,6,Wednesday,31.25,$500-$2k,0
ORD-01135,2023-02-09,Central,In-Store,Frank Russo,Electronics,Laptop Pro 15,3,1200.0,0.0,3600.0,1980.0,1620.0,2023,1,2,Feb,6,Thursday,45.0,>$2k,0
ORD-01673,2023-02-09,South,Online,Grace Lee,Electronics,Laptop Pro 15,11,1200.0,0.0,13200.0,7260.0,5940.0,2023,1,2,Feb,6,Thursday,45.0,>$2k,0
ORD-01245,2023-02-10,South,In-Store,Clara Diaz,Food & Beverage,Olive Oil 1L,11,16.0,0.0,176.0,96.8,79.2,2023,1,2,Feb,6,Friday,45.0,$100-$500,0
ORD-00037,2023-02-10,Central,Online,Grace Lee,Electronics,Wireless Earbuds,19,80.1,0.1,1521.9,930.05,591.85,2023,1,2,Feb,6,Friday,38.89,$500-$2k,0
ORD-00919,2023-02-11,North,Partner,Henry Osei,Home & Garden,Planter Set,18,38.25,0.15,688.5,445.5,243.0,2023,1,2,Feb,6,Saturday,35.29,$500-$2k,0
ORD-01797,2023-02-11,West,Partner,Bob Chen,Apparel,Running Jacket,11,85.0,0.0,935.0,514.25,420.75,2023,1,2,Feb,6,Saturday,45.0,$500-$2k,0
ORD-00865,2023-02-11,East,Partner,Clara Diaz,Sports,Gym Bag,15,63.0,0.1,945.0,577.5,367.5,2023,1,2,Feb,6,Saturday,38.89,$500-$2k,0
ORD-01279,2023-02-11,South,Wholesale,Grace Lee,Apparel,Running Jacket,7,85.0,0.0,595.0,327.25,267.75,2023,1,2,Feb,6,Saturday,45.0,$500-$2k,0
ORD-00727,2023-02-12,Central,Wholesale,Frank Russo,Sports,Resistance Bands,14,23.75,0.05,332.5,192.5,140.0,2023,1,2,Feb,6,Sunday,42.11,$100-$500,0
ORD-01131,2023-02-12,West,Partner,Grace Lee,Food & Beverage,Green Tea Set,8,16.2,0.1,129.6,79.2,50.4,2023,1,2,Feb,6,Sunday,38.89,$100-$500,0
ORD-00368,2023-02-12,West,In-Store,Grace Lee,Food & Beverage,Green Tea Set,18,14.4,0.2,259.2,178.2,81.0,2023,1,2,Feb,6,Sunday,31.25,$100-$500,0
ORD-01208,2023-02-12,North,In-Store,Alice Morgan,Home & Garden,Robot Vacuum,19,239.2,0.2,4544.8,3124.55,1420.25,2023,1,2,Feb,6,Sunday,31.25,>$2k,0
ORD-01991,2023-02-12,West,Online,Henry Osei,Food & Beverage,Olive Oil 1L,20,14.4,0.1,288.0,176.0,112.0,2023,1,2,Feb,6,Sunday,38.89,$100-$500,0
ORD-00047,2023-02-12,East,Partner,Alice Morgan,Home & Garden,Air Purifier,14,199.0,0.0,2786.0,1532.3,1253.7,2023,1,2,Feb,6,Sunday,45.0,>$2k,0
ORD-00223,2023-02-13,East,Wholesale,Eva Patel,Apparel,Wool Sweater,12,104.5,0.05,1254.0,726.0,528.0,2023,1,2,Feb,7,Monday,42.11,$500-$2k,0
ORD-01173,2023-02-14,North,In-Store,Grace Lee,Electronics,Smart Watch,20,249.0,0.0,4980.0,2739.0,2241.0,2023,1,2,Feb,7,Tuesday,45.0,>$2k,0
ORD-00413,2023-02-14,South,Wholesale,Frank Russo,Electronics,Wireless Earbuds,9,89.0,0.0,801.0,440.55,360.45,2023,1,2,Feb,7,Tuesday,45.0,$500-$2k,0
ORD-01094,2023-02-14,South,Online,Eva Patel,Sports,Gym Bag,17,56.0,0.2,952.0,654.5,297.5,2023,1,2,Feb,7,Tuesday,31.25,$500-$2k,0
ORD-01348,2023-02-15,Central,Wholesale,Alice Morgan,Home & Garden,Robot Vacuum,19,269.1,0.1,5112.9,3124.55,1988.35,2023,1,2,Feb,7,Wednesday,38.89,>$2k,0
ORD-00296,2023-02-15,West,Wholesale,David Kim,Food & Beverage,Premium Coffee Blend,8,18.7,0.15,149.6,96.8,52.8,2023,1,2,Feb,7,Wednesday,35.29,$100-$500,0
ORD-01534,2023-02-15,Central,In-Store,Frank Russo,Electronics,Smart Watch,18,211.65,0.15,3809.7,2465.1,1344.6,2023,1,2,Feb,7,Wednesday,35.29,>$2k,0
ORD-00309,2023-02-16,Central,In-Store,Clara Diaz,Apparel,Yoga Set,11,52.25,0.05,574.75,332.75,242.0,2023,1,2,Feb,7,Thursday,42.11,$500-$2k,0
ORD-00514,2023-02-16,North,In-Store,Clara Diaz,Home & Garden,Led Strip Kit,4,35.0,0.0,140.0,77.0,63.0,2023,1,2,Feb,7,Thursday,45.0,$100-$500,0
ORD-01062,2023-02-16,West,Partner,Bob Chen,Apparel,Wool Sweater,11,99.0,0.1,1089.0,665.5,423.5,2023,1,2,Feb,7,Thursday,38.89,$500-$2k,0
ORD-01066,2023-02-16,West,Online,Frank Russo,Food & Beverage,Green Tea Set,13,16.2,0.1,210.6,128.7,81.9,2023,1,2,Feb,7,Thursday,38.89,$100-$500,0
ORD-00254,2023-02-16,North,In-Store,Frank Russo,Apparel,Wool Sweater,17,110.0,0.0,1870.0,1028.5,841.5,2023,1,2,Feb,7,Thursday,45.0,$500-$2k,0
ORD-01006,2023-02-16,Central,Online,Grace Lee,Food & Beverage,Premium Coffee Blend,18,22.0,0.0,396.0,217.8,178.2,2023,1,2,Feb,7,Thursday,45.0,$100-$500,0
ORD-00764,2023-02-17,North,Partner,Alice Morgan,Electronics,Laptop Pro 15,11,1140.0,0.05,12540.0,7260.0,5280.0,2023,1,2,Feb,7,Friday,42.11,>$2k,0
ORD-00129,2023-02-17,East,Online,Eva Patel,Sports,Resistance Bands,10,25.0,0.0,250.0,137.5,112.5,2023,1,2,Feb,7,Friday,45.0,$100-$500,0
ORD-01809,2023-02-18,East,Wholesale,Eva Patel,Home & Garden,Air Purifier,9,189.05,0.05,1701.45,985.05,716.4,2023,1,2,Feb,7,Saturday,42.11,$500-$2k,0
ORD-00218,2023-02-18,East,Partner,Bob Chen,Electronics,Wireless Earbuds,10,89.0,0.0,890.0,489.5,400.5,2023,1,2,Feb,7,Saturday,45.0,$500-$2k,0
ORD-00209,2023-02-18,South,Wholesale,Henry Osei,Home & Garden,Air Purifier,10,199.0,0.0,1990.0,1094.5,895.5,2023,1,2,Feb,7,Saturday,45.0,$500-$2k,0
ORD-00997,2023-02-19,East,Partner,Alice Morgan,Home & Garden,Air Purifier,7,159.2,0.2,1114.4,766.15,348.25,2023,1,2,Feb,7,Sunday,31.25,$500-$2k,0
ORD-01259,2023-02-19,South,Partner,Grace Lee,Food & Beverage,Green Tea Set,20,18.0,0.0,360.0,198.0,162.0,2023,1,2,Feb,7,Sunday,45.0,$100-$500,0
ORD-01998,2023-02-19,East,Online,Henry Osei,Home & Garden,Led Strip Kit,18,29.75,0.15,535.5,346.5,189.0,2023,1,2,Feb,7,Sunday,35.29,$500-$2k,0
ORD-01167,2023-02-19,West,In-Store,David Kim,Sports,Foam Roller,20,30.0,0.0,600.0,330.0,270.0,2023,1,2,Feb,7,Sunday,45.0,$500-$2k,0
ORD-01789,2023-02-20,West,Partner,Grace Lee,Food & Beverage,Olive Oil 1L,7,16.0,0.0,112.0,61.6,50.4,2023,1,2,Feb,8,Monday,45.0,$100-$500,0
ORD-00770,2023-02-21,North,Wholesale,Alice Morgan,Apparel,Running Jacket,16,72.25,0.15,1156.0,748.0,408.0,2023,1,2,Feb,8,Tuesday,35.29,$500-$2k,0
ORD-01439,2023-02-21,South,Online,David Kim,Food & Beverage,Olive Oil 1L,4,13.6,0.15,54.4,35.2,19.2,2023,1,2,Feb,8,Tuesday,35.29,<$100,0
ORD-00665,2023-02-23,South,Online,David Kim,Sports,Gym Bag,7,70.0,0.0,490.0,269.5,220.5,2023,1,2,Feb,8,Thursday,45.0,$100-$500,0
ORD-01292,2023-02-23,East,In-Store,Eva Patel,Electronics,Wireless Earbuds,2,89.0,0.0,178.0,97.9,80.1,2023,1,2,Feb,8,Thursday,45.0,$100-$500,0
ORD-01831,2023-02-24,East,Online,Bob Chen,Food & Beverage,Green Tea Set,1,16.2,0.1,16.2,9.9,6.3,2023,1,2,Feb,8,Friday,38.89,<$100,0
ORD-01888,2023-02-24,East,Online,Frank Russo,Electronics,Laptop Pro 15,1,1200.0,0.0,1200.0,660.0,540.0,2023,1,2,Feb,8,Friday,45.0,$500-$2k,0
